"Counties","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
NA,"5,400 (1,000 to 9,200)","0.059 (0.011 to 0.101)","1,400 (-100 to 2,500)","0.066 (-0.004 to 0.119)"
NA,"3,200 (100 to 5,300)","0.076 (0.003 to 0.126)","2,000 (400 to 3,000)","0.157 (0.033 to 0.242)"
NA,"21,000 (14,500 to 27,000)","0.079 (0.055 to 0.102)","18,500 (13,200 to 23,400)","0.270 (0.192 to 0.341)"
NA,"1,900 (-300 to 3,600)","0.020 (-0.003 to 0.039)","1,700 (200 to 2,800)","0.066 (0.008 to 0.111)"
NA,"10,100 (5,800 to 14,000)","0.109 (0.062 to 0.151)","13,500 (10,000 to 16,500)","0.476 (0.353 to 0.580)"
NA,"7,000 (2,400 to 10,700)","0.095 (0.033 to 0.145)","4,100 (1,500 to 5,900)","0.227 (0.085 to 0.333)"
NA,"8,300 (2,700 to 12,600)","0.109 (0.035 to 0.164)","6,500 (3,300 to 9,000)","0.319 (0.160 to 0.438)"
NA,"7,100 (1,600 to 10,900)","0.060 (0.014 to 0.093)","3,600 (1,000 to 5,600)","0.113 (0.031 to 0.175)"
NA,"5,500 (-700 to 9,400)","0.075 (-0.009 to 0.130)","4,400 (1,700 to 6,200)","0.238 (0.093 to 0.337)"
NA,"11,600 (-5,300 to 22,600)","0.092 (-0.042 to 0.179)","6,300 (-400 to 10,600)","0.189 (-0.012 to 0.316)"
NA,"700 (-4,200 to 3,600)","0.015 (-0.099 to 0.086)","-100 (-1,700 to 900)","-0.007 (-0.159 to 0.084)"
NA,"5,300 (-3,100 to 11,000)","0.080 (-0.046 to 0.165)","3,900 (-400 to 6,600)","0.225 (-0.026 to 0.387)"
NA,"3,800 (1,100 to 5,800)","0.043 (0.013 to 0.066)","2,000 (600 to 3,000)","0.080 (0.023 to 0.121)"
NA,"1,300 (300 to 2,200)","0.033 (0.008 to 0.053)","900 (100 to 1,600)","0.072 (0.007 to 0.124)"
NA,"3,800 (300 to 6,800)","0.072 (0.006 to 0.127)","1,500 (0 to 2,500)","0.118 (0.003 to 0.201)"
NA,"800 (-1,200 to 2,300)","0.021 (-0.032 to 0.061)","600 (-300 to 1,200)","0.062 (-0.030 to 0.123)"
NA,"2,700 (-300 to 5,100)","0.037 (-0.004 to 0.069)","1,200 (-100 to 2,100)","0.068 (-0.005 to 0.121)"
NA,"5,200 (2,100 to 8,100)","0.037 (0.015 to 0.058)","1,300 (200 to 2,200)","0.043 (0.007 to 0.072)"
"Total","104,700 (17,000 to 170,300)","NA (NA to NA)","73,200 (29,200 to 105,700)","NA (NA to NA)"
