"Region","Excess Toll (Overall)","Excess Death Rate (Overall)","Excess Toll (Under 5)","Excess Death Rate (Under 5)"
"Awdal","-700 (-2,500 to 900)","-0.019 (-0.069 to 0.026)","-100 (-700 to 400)","-0.010 (-0.080 to 0.042)"
"Bakool","1,500 (400 to 2,400)","0.104 (0.024 to 0.157)","900 (300 to 1,300)","0.202 (0.071 to 0.291)"
"Banadir","12,200 (10,000 to 14,300)","0.122 (0.100 to 0.143)","8,500 (6,800 to 10,000)","0.324 (0.261 to 0.382)"
"Bari","300 (-600 to 1,000)","0.007 (-0.017 to 0.027)","300 (-200 to 800)","0.035 (-0.021 to 0.079)"
"Bay","9,500 (7,900 to 10,900)","0.296 (0.246 to 0.341)","8,200 (7,000 to 9,300)","0.837 (0.713 to 0.942)"
"Galgaduud","2,900 (1,000 to 4,300)","0.106 (0.037 to 0.159)","1,400 (500 to 2,100)","0.216 (0.070 to 0.323)"
"Gedo","3,700 (1,500 to 5,200)","0.146 (0.061 to 0.208)","2,400 (1,200 to 3,200)","0.356 (0.185 to 0.481)"
"Hiraan","2,400 (400 to 3,600)","0.064 (0.012 to 0.099)","1,100 (400 to 1,700)","0.116 (0.036 to 0.174)"
"LowerJuba","2,600 (-100 to 4,200)","0.091 (-0.002 to 0.150)","1,600 (600 to 2,300)","0.227 (0.086 to 0.322)"
"LowerShabelle","4,400 (-2,900 to 8,900)","0.087 (-0.058 to 0.177)","2,200 (-500 to 3,900)","0.164 (-0.040 to 0.289)"
"MiddleJuba","300 (-1,600 to 1,400)","0.018 (-0.101 to 0.089)","100 (-500 to 500)","0.023 (-0.124 to 0.110)"
"MiddleShabelle","2,000 (-1,500 to 4,500)","0.076 (-0.057 to 0.166)","1,200 (-400 to 2,300)","0.175 (-0.062 to 0.324)"
"Mudug","800 (-400 to 1,600)","0.022 (-0.011 to 0.046)","500 (0 to 900)","0.053 (-0.004 to 0.093)"
"Nugaal","-300 (-700 to 100)","-0.018 (-0.045 to 0.006)","0 (-300 to 300)","0.004 (-0.068 to 0.060)"
"Sanaag","100 (-1,400 to 1,300)","0.004 (-0.066 to 0.062)","200 (-400 to 600)","0.037 (-0.075 to 0.119)"
"Sool","100 (-700 to 700)","0.008 (-0.045 to 0.048)","100 (-200 to 400)","0.032 (-0.059 to 0.094)"
"Togdheer","-700 (-1,700 to 200)","-0.023 (-0.061 to 0.007)","-200 (-600 to 100)","-0.026 (-0.093 to 0.022)"
"WoqooyiGalbeed","-200 (-1,500 to 1,000)","-0.004 (-0.027 to 0.018)","0 (-500 to 300)","-0.003 (-0.037 to 0.024)"
"Total","40,900 (5,700 to 66,600)","NA (NA to NA)","28,600 (12,500 to 40,300)","NA (NA to NA)"
